match_type,confidence_score,bank_transaction_id,ledger_transaction_id,account_id,currency,amount_bank,amount_internal,transaction_date_bank,transaction_date_internal,reference_id_bank,reference_id_internal,raw_reference_bank,raw_reference_internal,normalized_reference,counterparty_bank,counterparty_internal,description_bank,description_internal
Exact Match,1.0,BK-S000001-B1,LD-S000001-L1,ACC1001,CAD,4348.91,4348.91,2026-03-18,2026-03-18,REF000001,REF000001,REF000001,REF000001,REF000001,Cedar Prime LP,Cedar Prime LP,Wire In - Cedar Prime LP,Wire In - Cedar Prime LP
Exact Match,1.0,BK-S000002-B1,LD-S000002-L1,ACC1001,CAD,134.33,134.33,2026-03-28,2026-03-28,REF000002,REF000002,REF000002,REF000002,REF000002,Lakeview Partners,Lakeview Partners,Deposit - Lakeview Partners,Deposit - Lakeview Partners
Exact Match,1.0,BK-S000003-B1,LD-S000003-L1,ACC3001,CAD,14078.6,14078.6,2026-04-15,2026-04-15,REF000003,REF000003,REF000003,REF000003,REF000003,Lakeview Partners,Lakeview Partners,Wire Out - Lakeview Partners,Wire Out - Lakeview Partners
Exact Match,1.0,BK-S000004-B1,LD-S000004-L1,ACC1001,CAD,7668.91,7668.91,2026-04-14,2026-04-14,REF000004,REF000004,REF000004,REF000004,REF000004,Lakeview Partners,Lakeview Partners,Wire Out - Lakeview Partners,Wire Out - Lakeview Partners
Exact Match,1.0,BK-S000005-B1,LD-S000005-L1,ACC2002,USD,15489.42,15489.42,2026-03-23,2026-03-23,REF000005,REF000005,REF000005,REF000005,REF000005,Bluewater Holdings,Bluewater Holdings,Wire In - Bluewater Holdings,Wire In - Bluewater Holdings
Exact Match,1.0,BK-S000006-B1,LD-S000006-L1,ACC1001,CAD,20905.71,20905.71,2026-03-06,2026-03-06,REF000006,REF000006,REF000006,REF000006,REF000006,Pinebridge Vendor Services,Pinebridge Vendor Services,Interest - Pinebridge Vendor Services,Interest - Pinebridge Vendor Services
Exact Match,1.0,BK-S000007-B1,LD-S000007-L1,ACC1001,CAD,7945.31,7945.31,2026-04-12,2026-04-12,REF000007,REF000007,REF000007,REF000007,REF000007,Cedar Prime LP,Cedar Prime LP,Wire In - Cedar Prime LP,Wire In - Cedar Prime LP
Exact Match,1.0,BK-S000008-B1,LD-S000008-L1,ACC2002,USD,9755.97,9755.97,2026-03-30,2026-03-30,REF000008,REF000008,REF000008,REF000008,REF000008,Pinebridge Vendor Services,Pinebridge Vendor Services,Fee - Pinebridge Vendor Services,Fee - Pinebridge Vendor Services
Exact Match,1.0,BK-S000009-B1,LD-S000009-L1,ACC2001,USD,15619.14,15619.14,2026-04-13,2026-04-13,REF000009,REF000009,REF000009,REF000009,REF000009,Evergreen Custody,Evergreen Custody,Withdrawal - Evergreen Custody,Withdrawal - Evergreen Custody
Exact Match,1.0,BK-S000010-B1,LD-S000010-L1,ACC1002,CAD,23209.39,23209.39,2026-03-25,2026-03-25,REF000010,REF000010,REF000010,REF000010,REF000010,Lakeview Partners,Lakeview Partners,Interest - Lakeview Partners,Interest - Lakeview Partners
Exact Match,1.0,BK-S000011-B1,LD-S000011-L1,ACC1002,CAD,2588.53,2588.53,2026-03-21,2026-03-21,REF000011,REF000011,REF000011,REF000011,REF000011,Pinebridge Vendor Services,Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services,Wire In - Pinebridge Vendor Services
Exact Match,1.0,BK-S000012-B1,LD-S000012-L1,ACC2002,USD,175.67,175.67,2026-03-30,2026-03-30,REF000012,REF000012,REF000012,REF000012,REF000012,North Ridge Treasury,North Ridge Treasury,Withdrawal - North Ridge Treasury,Withdrawal - North Ridge Treasury
Exact Match,1.0,BK-S000013-B1,LD-S000013-L1,ACC3001,CAD,24940.9,24940.9,2026-03-24,2026-03-24,REF000013,REF000013,REF000013,REF000013,REF000013,Summit Client Account,Summit Client Account,Interest - Summit Client Account,Interest - Summit Client Account
Exact Match,1.0,BK-S000014-B1,LD-S000014-L1,ACC1001,CAD,17331.55,17331.55,2026-04-10,2026-04-10,REF000014,REF000014,REF000014,REF000014,REF000014,Cedar Prime LP,Cedar Prime LP,Wire Out - Cedar Prime LP,Wire Out - Cedar Prime LP
Exact Match,1.0,BK-S000015-B1,LD-S000015-L1,ACC2002,USD,21658.71,21658.71,2026-03-17,2026-03-17,REF000015,REF000015,REF000015,REF000015,REF000015,Bluewater Holdings,Bluewater Holdings,Deposit - Bluewater Holdings,Deposit - Bluewater Holdings
Exact Match,1.0,BK-S000016-B1,LD-S000016-L1,ACC3001,CAD,8044.0,8044.0,2026-04-11,2026-04-11,REF000016,REF000016,REF000016,REF000016,REF000016,Evergreen Custody,Evergreen Custody,Fee - Evergreen Custody,Fee - Evergreen Custody
