break_type,priority,account_id,currency,amount_bank,amount_internal,transaction_date_bank,transaction_date_internal,reference_id_bank,reference_id_internal,description_bank,description_internal,recommended_review_action,ai_exception_explanation,ai_recommended_next_step,draft_analyst_note
Duplicate Transaction,High,ACC1001,CAD,9800.0,,2026-03-10,,REF0048,,Client funding received,,Review duplicate records detected on bank side before reconciliation matching.,"This exception appears to be a duplicate transaction. Multiple records with the same transaction details were detected on the bank statement, which may lead to overstated activity or incorrect reconciliation results if not reviewed.","Confirm whether the duplicate record is a true repeated posting or a data duplication issue, then remove or escalate as needed before finalizing reconciliation.",Duplicate transaction flagged for account ACC1001. Review repeated entries associated with reference REF0048 / N/A and confirm whether the duplication is operational or data-related.
Duplicate Transaction,High,ACC1003,CAD,2100.0,,2026-03-11,,REF0049,,Cash withdrawal processed,,Review duplicate records detected on bank side before reconciliation matching.,"This exception appears to be a duplicate transaction. Multiple records with the same transaction details were detected on the bank statement, which may lead to overstated activity or incorrect reconciliation results if not reviewed.","Confirm whether the duplicate record is a true repeated posting or a data duplication issue, then remove or escalate as needed before finalizing reconciliation.",Duplicate transaction flagged for account ACC1003. Review repeated entries associated with reference REF0049 / N/A and confirm whether the duplication is operational or data-related.
Duplicate Transaction,High,ACC1005,CAD,,15100.0,,2026-03-11,,REF0050,,Treasury movement,Review duplicate records detected on internal side before reconciliation matching.,"This exception appears to be a duplicate transaction. Multiple records with the same transaction details were detected on the one reconciliation source, which may lead to overstated activity or incorrect reconciliation results if not reviewed.","Confirm whether the duplicate record is a true repeated posting or a data duplication issue, then remove or escalate as needed before finalizing reconciliation.",Duplicate transaction flagged for account ACC1005. Review repeated entries associated with reference N/A / REF0050 and confirm whether the duplication is operational or data-related.
Potential Timing Difference,Medium,ACC1001,CAD,5400.0,5400.0,2026-03-08,2026-03-09,REF0031,REF0031,Cash deposit posted,Cash deposit posted,Review next-day posting to confirm normal settlement timing difference.,"This exception appears to be a timing difference. The transaction details align across both records, but the posting dates differ between 2026-03-08 and 2026-03-09. This may reflect a normal settlement or posting delay rather than a true break.",Review the next-day or prior-day posting cycle and confirm whether the date difference is consistent with expected settlement timing before escalating.,Timing-related exception flagged for account ACC1001. Reference REF0031 / REF0031 appears in both sources with a one-day posting difference. Recommend confirming whether this reflects normal settlement timing.
Potential Timing Difference,Medium,ACC1002,CAD,12800.0,12800.0,2026-03-08,2026-03-09,REF0032,REF0032,Client funding received,Client funding received,Review next-day posting to confirm normal settlement timing difference.,"This exception appears to be a timing difference. The transaction details align across both records, but the posting dates differ between 2026-03-08 and 2026-03-09. This may reflect a normal settlement or posting delay rather than a true break.",Review the next-day or prior-day posting cycle and confirm whether the date difference is consistent with expected settlement timing before escalating.,Timing-related exception flagged for account ACC1002. Reference REF0032 / REF0032 appears in both sources with a one-day posting difference. Recommend confirming whether this reflects normal settlement timing.
Potential Timing Difference,Medium,ACC1003,CAD,760.0,760.0,2026-03-08,2026-03-09,REF0033,REF0033,Bank service fee,Bank service fee,Review next-day posting to confirm normal settlement timing difference.,"This exception appears to be a timing difference. The transaction details align across both records, but the posting dates differ between 2026-03-08 and 2026-03-09. This may reflect a normal settlement or posting delay rather than a true break.",Review the next-day or prior-day posting cycle and confirm whether the date difference is consistent with expected settlement timing before escalating.,Timing-related exception flagged for account ACC1003. Reference REF0033 / REF0033 appears in both sources with a one-day posting difference. Recommend confirming whether this reflects normal settlement timing.
Potential Timing Difference,Medium,ACC1004,CAD,9800.0,9800.0,2026-03-09,2026-03-10,REF0034,REF0034,Client withdrawal,Client withdrawal,Review next-day posting to confirm normal settlement timing difference.,"This exception appears to be a timing difference. The transaction details align across both records, but the posting dates differ between 2026-03-09 and 2026-03-10. This may reflect a normal settlement or posting delay rather than a true break.",Review the next-day or prior-day posting cycle and confirm whether the date difference is consistent with expected settlement timing before escalating.,Timing-related exception flagged for account ACC1004. Reference REF0034 / REF0034 appears in both sources with a one-day posting difference. Recommend confirming whether this reflects normal settlement timing.
Potential Timing Difference,Medium,ACC1005,CAD,17200.0,17200.0,2026-03-09,2026-03-10,REF0035,REF0035,Treasury funding received,Treasury funding received,Review next-day posting to confirm normal settlement timing difference.,"This exception appears to be a timing difference. The transaction details align across both records, but the posting dates differ between 2026-03-09 and 2026-03-10. This may reflect a normal settlement or posting delay rather than a true break.",Review the next-day or prior-day posting cycle and confirm whether the date difference is consistent with expected settlement timing before escalating.,Timing-related exception flagged for account ACC1005. Reference REF0035 / REF0035 appears in both sources with a one-day posting difference. Recommend confirming whether this reflects normal settlement timing.
Potential Timing Difference,Medium,ACC1002,CAD,3100.0,3100.0,2026-03-10,2026-03-11,REF0036,REF0036,Cash withdrawal processed,Cash withdrawal processed,Review next-day posting to confirm normal settlement timing difference.,"This exception appears to be a timing difference. The transaction details align across both records, but the posting dates differ between 2026-03-10 and 2026-03-11. This may reflect a normal settlement or posting delay rather than a true break.",Review the next-day or prior-day posting cycle and confirm whether the date difference is consistent with expected settlement timing before escalating.,Timing-related exception flagged for account ACC1002. Reference REF0036 / REF0036 appears in both sources with a one-day posting difference. Recommend confirming whether this reflects normal settlement timing.
Amount Mismatch,High,ACC1002,CAD,12500.0,12350.0,2026-03-09,2026-03-09,REF0045,REF0045,Vendor payment,Vendor payment,Investigate source booking or adjustment causing amount mismatch.,"This exception appears to be an amount mismatch. The transaction reference and core details suggest the records are related, but the bank amount (12500.0) does not match the internal amount (12350.0). This may indicate a booking issue, adjustment, or partial posting.","Investigate the source booking, adjustment history, or transaction lifecycle to determine why the two amounts differ.","Amount mismatch flagged for account ACC1002. Reference REF0045 / REF0045 appears related across both sources, but the recorded amounts differ and require investigation."
